b0077	ilvI	b3671	ilvB	0.320571
b0077	ilvI	b3771	ilvD	0.352102
b0077	ilvI	b4143	groEL	0.271021
b0077	ilvI	b4297	yjhG	0.352102
b0078	ilvH	b3774	ilvC	0.352102
b0080	fruR	b0345	lacI	0.320571
b0080	fruR	b1658	purR	0.320571
b0080	fruR	b2837	galR	0.320571
b0080	fruR	b3846	fadB	0.79
b0080	fruR	b4059	ssb	0.85
b0081	yabB	b0083	ftsL	0.408408
b0081	yabB	b0084	ftsI	0.408408
b0081	yabB	b0085	murE	0.408408
b0081	yabB	b0086	murF	0.408408
b0081	yabB	b0087	mraY	0.408408
b0081	yabB	b0088	murD	0.408408
b0081	yabB	b0089	ftsW	0.408408
b0081	yabB	b0116	lpdA	0.89
b0082	mraW	b0090	murG	0.352102
b0082	mraW	b0098	secA	0.352102
b0082	mraW	b3320	rplC	0.71
b0082	mraW	b3321	rpsJ	0.71
b0082	mraW	b3986	rplL	0.71
b0083	ftsL	b0084	ftsI	0.679429
b0083	ftsL	b0085	murE	0.408408
b0083	ftsL	b0086	murF	0.408408
b0083	ftsL	b0087	mraY	0.408408
b0083	ftsL	b0088	murD	0.408408
b0083	ftsL	b0089	ftsW	0.679429
b0083	ftsL	b0093	ftsQ	0.490991
b0083	ftsL	b0096	lpxC	0.408408
b0083	ftsL	b0890	ftsK	0.271021
b0083	ftsL	b1168	ycgG	0.271021
b0083	ftsL	b2748	ftsB	0.271021
b0083	ftsL	b3933	ftsN	0.271021
b0084	ftsI	b0085	murE	0.540541
b0084	ftsI	b0086	murF	0.540541
b0084	ftsI	b0087	mraY	0.540541
b0084	ftsI	b0088	murD	0.540541
b0084	ftsI	b0089	ftsW	0.811562
b0084	ftsI	b0090	murG	0.352102
b0084	ftsI	b0091	murC	0.352102
b0084	ftsI	b0092	ddl	0.352102
b0084	ftsI	b0093	ftsQ	0.679429
b0084	ftsI	b0094	ftsA	0.679429
b0084	ftsI	b0095	ftsZ	0.408408
b0084	ftsI	b0096	lpxC	0.408408
b0084	ftsI	b0098	secA	0.352102
b0084	ftsI	b0149	mrcB	0.320571
b0084	ftsI	b0634	mrdB	0.540541
b0084	ftsI	b0635	mrdA	0.320571
b0084	ftsI	b0890	ftsK	0.403153
b0084	ftsI	b1168	ycgG	0.271021
b0084	ftsI	b2748	ftsB	0.271021
b0084	ftsI	b3396	mrcA	0.320571
b0084	ftsI	b3933	ftsN	0.271021
b0085	murE	b0086	murF	0.540541
b0085	murE	b0087	mraY	0.540541
b0085	murE	b0088	murD	0.540541
b0085	murE	b0089	ftsW	0.540541
b0085	murE	b0090	murG	0.619369
b0085	murE	b0091	murC	0.540541
b0085	murE	b0092	ddl	0.352102
b0085	murE	b0093	ftsQ	0.408408
b0085	murE	b0094	ftsA	0.408408
b0085	murE	b0095	ftsZ	0.408408
b0085	murE	b0098	secA	0.352102
b0085	murE	b0169	rpsB	0.92
b0085	murE	b3340	fusA	0.9
b0085	murE	b3463	ftsE	0.96
b0085	murE	b3619	rfaD	0.94
b0085	murE	b3986	rplL	0.7
b0085	murE	b4233	mpl	0.352102
b0086	murF	b0087	mraY	0.540541
b0086	murF	b0088	murD	0.540541
b0086	murF	b0089	ftsW	0.540541
b0086	murF	b0090	murG	0.540541
b0086	murF	b0091	murC	0.540541
b0086	murF	b0092	ddl	0.352102
b0086	murF	b0093	ftsQ	0.408408
b0086	murF	b0094	ftsA	0.408408
b0086	murF	b0095	ftsZ	0.408408
b0086	murF	b0381	ddl	0.352102
b0086	murF	b0634	mrdB	0.298799
b0086	murF	b4233	mpl	0.352102
b0087	mraY	b0088	murD	0.540541
b0087	mraY	b0089	ftsW	0.540541
b0087	mraY	b0090	murG	0.540541
b0087	mraY	b0091	murC	0.540541
b0087	mraY	b0092	ddl	0.352102
b0087	mraY	b0093	ftsQ	0.408408
b0087	mraY	b0094	ftsA	0.408408
b0087	mraY	b0095	ftsZ	0.408408
b0087	mraY	b0381	ddl	0.352102
b0087	mraY	b0635	mrdA	0.352102
b0087	mraY	b4233	mpl	0.352102
b0088	murD	b0089	ftsW	0.540541
b0088	murD	b0090	murG	0.540541
b0088	murD	b0091	murC	0.540541
b0088	murD	b0092	ddl	0.352102
b0088	murD	b0093	ftsQ	0.408408
b0088	murD	b0094	ftsA	0.408408
b0088	murD	b0095	ftsZ	0.408408
b0088	murD	b0381	ddl	0.352102
b0088	murD	b4233	mpl	0.352102
b0089	ftsW	b0090	murG	0.606607
b0089	ftsW	b0091	murC	0.540541
b0089	ftsW	b0092	ddl	0.352102
b0089	ftsW	b0093	ftsQ	0.679429
b0089	ftsW	b0094	ftsA	0.408408
b0089	ftsW	b0095	ftsZ	0.408408
b0089	ftsW	b0098	secA	0.352102
b0089	ftsW	b0381	ddl	0.352102
b0089	ftsW	b0634	mrdB	0.320571
b0089	ftsW	b3933	ftsN	0.459459
b0089	ftsW	b4233	mpl	0.352102
b0090	murG	b0091	murC	0.540541
b0090	murG	b0092	ddl	0.352102
b0090	murG	b0093	ftsQ	0.408408
b0090	murG	b0094	ftsA	0.408408
b0090	murG	b0095	ftsZ	0.408408
b0090	murG	b0098	secA	0.352102
b0090	murG	b0381	ddl	0.352102
b0090	murG	b0634	mrdB	0.352102
b0090	murG	b3980	tuf	0.79
b0090	murG	b4233	mpl	0.352102
b0091	murC	b0092	ddl	0.352102
b0091	murC	b0093	ftsQ	0.408408
b0091	murC	b0094	ftsA	0.408408
b0091	murC	b0095	ftsZ	0.408408
b0091	murC	b0096	lpxC	0.408408
b0091	murC	b0098	secA	0.352102
b0091	murC	b0381	ddl	0.352102
b0091	murC	b3339	tuf	0.9
b0091	murC	b3980	tuf	0.79
b0091	murC	b4143	groEL	0.95
b0091	murC	b4233	mpl	0.320571
b0093	ftsQ	b0094	ftsA	0.679429
b0093	ftsQ	b0095	ftsZ	0.408408
b0093	ftsQ	b0098	secA	0.490991
b0093	ftsQ	b0890	ftsK	0.271021
b0093	ftsQ	b1168	ycgG	0.271021
b0093	ftsQ	b2748	ftsB	0.271021
b0093	ftsQ	b3300	prlA	0.271021
b0093	ftsQ	b3462	ftsX	0.271021
b0093	ftsQ	b3705	yidC	0.271021
b0093	ftsQ	b3933	ftsN	0.459459
b0094	ftsA	b0095	ftsZ	0.880631
b0094	ftsA	b0096	lpxC	0.408408
b0094	ftsA	b2412	zipA	0.459459
b0094	ftsA	b3339	tuf	0.89
b0094	ftsA	b3462	ftsX	0.271021
b0094	ftsA	b3933	ftsN	0.459459
b0094	ftsA	b3972	murB	0.97
b0094	ftsA	b3980	tuf	0.73
b0094	ftsA	b3983	rplK	0.7
b0095	ftsZ	b0014	dnaK	0.93
b0095	ftsZ	b0015	dnaJ	0.84
b0095	ftsZ	b0096	lpxC	0.408408
b0095	ftsZ	b0098	secA	0.85
b0095	ftsZ	b0169	rpsB	0.77
b0095	ftsZ	b0634	mrdB	0.408408
b0095	ftsZ	b0890	ftsK	0.271021
b0095	ftsZ	b0924	mukB	0.459459
b0095	ftsZ	b0958	sulA	0.538288
b0095	ftsZ	b1176	minC	0.459459
b0095	ftsZ	b1623	add	0.84
b0095	ftsZ	b2096	gatY	0.93
b0095	ftsZ	b2412	zipA	0.538288
b0095	ftsZ	b3339	tuf	0.71
b0095	ftsZ	b3340	fusA	0.92
b0095	ftsZ	b3418	malT	0.92
b0095	ftsZ	b3725	pstB	0.99
b0095	ftsZ	b4035	malK	0.81
b0095	ftsZ	b4043	lexA	0.99
b0096	lpxC	b0098	secA	0.408408
b0096	lpxC	b0114	aceE	0.7
b0096	lpxC	b0180	fabZ	0.474474
b0096	lpxC	b0181	lpxA	0.352102
b0096	lpxC	b3341	rpsG	0.85
b0097	yacA	b0098	secA	0.408408
b0098	secA	b0014	dnaK	0.92
b0098	secA	b0099	mutT	0.408408
b0098	secA	b0169	rpsB	0.84
b0098	secA	b0957	ompA	0.271021
b0098	secA	b1175	minD	0.93
b0098	secA	b2095	gatZ	0.78
b0098	secA	b2942	metK	0.95
b0098	secA	b3175	secG	0.459459
b0098	secA	b3251	mreB	1.0
b0098	secA	b3300	prlA	0.67042
b0098	secA	b3307	rpsN	0.73
b0098	secA	b3320	rplC	0.78
b0098	secA	b3339	tuf	1.0
b0098	secA	b3783	rho	0.99
b0098	secA	b3980	tuf	1.0
b0098	secA	b3981	secE	0.459459
b0101	yacG	b0102	yacF	0.408408
b0101	yacG	b2231	gyrA	1.0
b0101	yacG	b3699	gyrB	1.0
b0106	hofC	b0107	hofB	0.408408
b0106	hofC	b0108	ppdD	0.408408
b0107	hofB	b0108	ppdD	0.408408
b0107	hofB	b3327	gspF	0.352102
b0109	nadC	b0114	aceE	0.408408
b0109	nadC	b0750	nadA	0.540541
b0109	nadC	b2574	nadB	0.408408
b0110	ampD	b0111	ampE	0.408408
b0112	aroP	b0114	aceE	0.408408
b0112	aroP	b2156	lysP	0.320571
b0113	pdhR	b0115	aceF	0.442192
b0114	aceE	b0115	aceF	0.508258
b0114	aceE	b0116	lpdA	0.442192
b0114	aceE	b2383	ypdD	0.34985
b0115	aceF	b0116	lpdA	0.508258
b0115	aceF	b0304	ykgC	0.286036
b0115	aceF	b0727	sucB	0.386637
b0115	aceF	b3500	gor	0.286036
b0115	aceF	b3962	udhA	0.286036
b0116	lpdA	b0727	sucB	0.608859
b0116	lpdA	b4143	groEL	0.392643
b0119	yacL	b0023	rpsT	0.91
b0119	yacL	b0059	hepA	1.0
b0119	yacL	b0114	aceE	0.84
b0119	yacL	b0115	aceF	0.83
b0119	yacL	b0116	lpdA	0.85
b0119	yacL	b0123	cueO	0.408408
b0119	yacL	b0169	rpsB	0.9
b0119	yacL	b0465	kefA	0.84
b0119	yacL	b0607	ybdQ	0.99
b0119	yacL	b0683	fur	1.0
b0119	yacL	b2018	hisL	0.79
b0119	yacL	b2183	rsuA	0.85
b0119	yacL	b2255	yfbG	0.97
b0119	yacL	b3065	rpsU	0.94
b0119	yacL	b3165	rpsO	0.73
b0119	yacL	b3186	rplU	0.74
b0119	yacL	b3231	rplM	1.0
b0119	yacL	b3294	rplQ	0.75
b0119	yacL	b3295	rpoA	1.0
b0119	yacL	b3296	rpsD	1.0
b0119	yacL	b3301	rplO	0.96
b0119	yacL	b3303	rpsE	0.99
b0119	yacL	b3307	rpsN	0.98
b0119	yacL	b3310	rplN	0.87
b0119	yacL	b3313	rplP	1.0
b0119	yacL	b3314	rpsC	1.0
b0119	yacL	b3315	rplV	0.74
b0119	yacL	b3317	rplB	0.91
b0119	yacL	b3320	rplC	0.93
b0119	yacL	b3349	slyD	1.0
b0119	yacL	b3357	crp	0.99
b0119	yacL	b3637	rpmB	0.98
b0119	yacL	b3649	rpoZ	0.97
b0119	yacL	b3982	nusG	1.0
